序号,学校名称,学校性质,招生范围,户籍生,,,,,非户籍生,,,,,外区生,,,,
,,,,最低分数,最低分数同分序号,末位考生志愿序号,末位考生分数,末位考生分数同分序号,最低分数,最低分数同分序号,末位考生志愿序号,末位考生分数,末位考生分数同分序号,最低分数,最低分数同分序号,末位考生志愿序号,末位考生分数,末位考生分数同分序号
1,华南师范大学附属中学,公办,全市,728,112,1,728,112,738,102,1,738,102,,,,,
2,广东实验中学,公办,全市,735,177,1,735,177,717,98,1,717,98,,,,,
3,广东广雅中学（本部校区）,公办,全市,731,4,1,731,4,728,252,1,728,252,,,,,
4,广东广雅中学（花都校区）,公办,全市,718,105,1,718,105,716,43,1,716,43,,,,,
5,广州市执信中学（执信路校区）,公办,全市,730,111,1,730,111,714,128,1,714,128,,,,,
6,广州市执信中学（天河校区）,公办,全市,719,156,1,719,156,694,451,1,694,451,,,,,
7,广州市第二中学,公办,全市,730,24,1,730,24,725,198,1,725,198,,,,,
8,广州市第六中学,公办,全市,721,205,1,721,205,710,241,1,710,241,,,,,
9,广东华侨中学,公办,全市,675,476,3,700,248,675,459,2,706,300,,,,,
10,广州协和学校,公办,全市,675,302,2,676,105,681,198,1,681,198,,,,,
11,广州大学附属中学,公办,全市,736,20,1,736,20,642,330,3,642,330,,,,,
12,广州市铁一中学（越秀校区）,公办,全市,720,57,1,720,57,705,262,1,705,262,,,,,
13,广州市铁一中学（番禺校区）,公办,全市,724,67,1,724,67,703,316,1,703,316,,,,,
14,广州市铁一中学（白云校区）,公办,全市,717,218,1,717,218,718,156,1,718,156,,,,,
15,清华附中湾区学校,公办,全市,680,33,1,680,33,678,212,1,678,212,,,,,
16,广州市第一中学,公办,全市,675,410,4,691,216,659,234,1,659,234,675,410,4,698,197
17,广州市第四中学,公办,全市,636,264,2,643,427,670,436,1,670,436,639,342,2,672,222
18,广州市南海中学,公办,全市,635,382,4,636,238,664,297,1,664,297,648,264,4,648,264
19,广州市西关外国语学校,公办,全市,635,276,2,668,286,661,80,1,661,80,635,276,2,668,286
20,广州市真光中学（校本部）,公办,全市,675,244,2,698,184,638,386,6,638,386,679,181,2,698,184
21,广州市真光中学（汾水校区）,公办,全市,635,325,3,638,233,643,179,2,649,372,640,285,3,644,107
22,广州市第三中学,公办,全市,675,368,3,714,125,680,282,1,680,282,675,354,2,678,36
23,广州市第七中学,公办,全市,710,84,1,710,84,702,64,1,702,64,711,34,1,711,34
24,广州市第十六中学（校本部）,公办,全市,695,148,1,695,148,635,33,4,652,255,708,398,1,708,398
25,广州市第十六中学（水荫校区）,公办,全市,636,196,4,673,154,636,179,3,667,368,650,224,4,673,102
26,广州市第十七中学,公办,全市,635,306,2,663,466,655,36,1,655,36,698,476,3,713,108
27,广东实验中学越秀学校,公办,全市,635,113,2,647,170,659,67,1,659,67,641,46,2,648,53
28,广州市培正中学,公办,全市,698,425,1,698,425,676,169,2,707,210,698,425,1,698,425
29,广州市育才中学,公办,全市,675,422,6,714,234,641,239,2,659,283,676,39,5,699,26
30,广州市第五中学（校本部）,公办,全市,715,146,1,715,146,684,201,1,684,201,719,397,1,719,397
31,广州市第五中学（金碧校区）,公办,全市,675,366,2,700,439,637,66,5,657,255,675,366,2,700,439
32,广州市南武中学（校本部）,公办,全市,690,305,1,690,305,675,331,1,675,331,691,404,1,691,404
33,广州市南武中学（岭南画派纪念校区）,公办,老三区,640,321,2,673,482,645,376,1,645,376,,,,,
34,广州市第九十七中学（校本部）,公办,全市,654,414,1,654,414,648,451,1,648,451,__,,,,
35,广州市第四十一中学,公办,全市,642,109,1,642,109,635,271,1,635,271,643,146,1,643,146
36,广州市海珠外国语实验中学,公办,全市,674,442,1,674,442,636,313,1,636,313,682,152,5,708,85
37,广州中学,公办,全市,709,373,1,709,373,635,293,6,635,293,709,373,1,709,373
38,广州市第七十五中学,公办,全市,639,217,1,639,217,659,163,1,659,163,639,217,1,639,217
39,广州市第一一三中学,公办,全市,675,314,2,675,314,643,394,1,643,394,689,11,2,689,11
40,广州市第八十九中学,公办,全市,642,356,1,642,356,675,194,1,675,194,647,206,1,647,206
41,广州市天河中学,公办,全市,675,183,1,675,183,643,59,4,663,383,678,275,1,678,275
42,广州奥林匹克中学,公办,全市,624,264,1,624,264,639,70,2,669,320,642,85,6,644,300
43,广州市天河外国语学校,公办,全市,705,31,1,705,31,707,430,1,707,430,__,,,,
44,广州市培英中学（白云新城校区）,公办,全市,691,371,1,691,371,699,245,1,699,245,692,452,1,692,452
45,广州市培英中学（鹤洞校区）,公办,全市,637,126,6,658,116,654,271,4,657,345,637,126,6,658,116
46,广州市第六十五中学（江高校区）,公办,全市,665,439,1,665,439,675,432,3,713,366,665,308,1,665,308
47,广州市第六十五中学（同德校区）,公办,全市,635,344,3,640,255,649,213,1,649,213,635,193,3,640,255
