2026年广州市普通高中名额分配结果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,代码,初中学校,,,,"名额
考生",,,省市名额,,,"区属
名额",,,华附石牌,,华附知识城,,省实荔湾,,省实白云,,广雅荔湾,,广雅花都,,执信越秀,,执信天河,,"二
中",,六中海珠,,六中从化,,六中花都,,侨中,,协和,,广附,,"铁
__
越
秀",,"铁
__
番
禺",,"铁
__
白
云",,广州外国语,,清湾智谷,,清湾智慧城,,"__
中",,四中,,,南海中学,,,西外,,真光本部,,真光汾水,,真光广钢
,0103 ,荔湾区,,,,6417 ,6417 ,6417 ,332 ,332 ,332 ,2053 ,2053 ,2053 ,10 ,10 ,12 ,12 ,20 ,20 ,15 ,15 ,19 ,19 ,15 ,15 ,15 ,15 ,22 ,22 ,27 ,27 ,21 ,21 ,10 ,10 ,13 ,13 ,10 ,10 ,17 ,17 ,22 ,22 ,9 ,9 ,10 ,10 ,17 ,17 ,20 ,20 ,11 ,11 ,17 ,17 ,418 ,418 ,369 ,369 ,369 ,264 ,264 ,264 ,263 ,263 ,418 ,418 ,110 ,110 ,211 
1 ,010301,广州市第一中学,,,,595 ,595 ,595 ,31 ,31 ,31 ,187 ,187 ,187 ,1 ,1 ,0 ,0 ,1 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,0 ,0 ,4 ,4 ,0 ,0 ,1 ,1 ,0 ,0 ,2 ,2 ,4 ,4 ,1 ,1 ,0 ,0 ,2 ,2 ,3 ,3 ,1 ,1 ,0 ,0 ,43 ,43 ,27 ,27 ,27 ,20 ,20 ,20 ,32 ,32 ,34 ,34 ,12 ,12 ,19 
2 ,010302,广州市第四中学,,,,835 ,835 ,835 ,43 ,43 ,43 ,262 ,262 ,262 ,2 ,2 ,3 ,3 ,1 ,1 ,1 ,1 ,1 ,1 ,0 ,0 ,2 ,2 ,1 ,1 ,4 ,4 ,1 ,1 ,4 ,4 ,1 ,1 ,3 ,3 ,2 ,2 ,3 ,3 ,1 ,1 ,1 ,1 ,5 ,5 ,4 ,4 ,1 ,1 ,2 ,2 ,50 ,50 ,50 ,50 ,50 ,25 ,25 ,25 ,24 ,24 ,64 ,64 ,14 ,14 ,35 
3 ,010303,广州市南海中学,,,,230 ,230 ,230 ,12 ,12 ,12 ,72 ,72 ,72 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,3 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,1 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,19 ,19 ,8 ,8 ,8 ,11 ,11 ,11 ,10 ,10 ,16 ,16 ,1 ,1 ,7 
4 ,010304,广州市西关外国语学校,,,,573 ,573 ,573 ,30 ,30 ,30 ,180 ,180 ,180 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,3 ,1 ,1 ,2 ,2 ,0 ,0 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1 ,3 ,3 ,1 ,1 ,1 ,1 ,3 ,3 ,3 ,3 ,0 ,0 ,1 ,1 ,1 ,1 ,1 ,1 ,0 ,0 ,49 ,49 ,38 ,38 ,38 ,14 ,14 ,14 ,14 ,14 ,38 ,38 ,9 ,9 ,18 
5 ,010305,广州市第一中学十甫学校,,,,67 ,67 ,67 ,3 ,3 ,3 ,23 ,23 ,23 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,6 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,4 ,7 ,7 ,0 ,0 ,2 
6 ,010306,广州市第四中学丰宁学校,,,,55 ,55 ,55 ,3 ,3 ,3 ,19 ,19 ,19 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,5 ,5 ,4 ,4 ,4 ,2 ,2 ,2 ,3 ,3 ,2 ,2 ,1 ,1 ,2 
7 ,010307,广州市西关培英中学,,,,142 ,142 ,142 ,7 ,7 ,7 ,44 ,44 ,44 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,3 ,13 ,13 ,13 ,5 ,5 ,5 ,7 ,7 ,12 ,12 ,0 ,0 ,4 
8 ,010308,广州市陈嘉庚纪念中学,,,,120 ,120 ,120 ,6 ,6 ,6 ,42 ,42 ,42 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,11 ,11 ,8 ,8 ,8 ,5 ,5 ,5 ,8 ,8 ,5 ,5 ,3 ,3 ,2 
9 ,010312,广州市美华中学,,,,166 ,166 ,166 ,8 ,8 ,8 ,58 ,58 ,58 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,2 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,13 ,13 ,10 ,10 ,10 ,8 ,8 ,8 ,4 ,4 ,15 ,15 ,0 ,0 ,8 
10 ,010314,广州市西关外国语流花学校,,,,54 ,54 ,54 ,3 ,3 ,3 ,19 ,19 ,19 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,3 ,3 ,2 ,2 ,2 ,4 ,4 ,4 ,4 ,4 ,3 ,3 ,2 ,2 ,1 
11 ,010318,广州市第一中学红岩学校,,,,109 ,109 ,109 ,6 ,6 ,6 ,38 ,38 ,38 ,0 ,0 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,13 ,6 ,6 ,6 ,1 ,1 ,1 ,9 ,9 ,4 ,4 ,1 ,1 ,4 
12 ,010319,广州市真光中学东激学校,,,,73 ,73 ,73 ,4 ,4 ,4 ,25 ,25 ,25 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,6 ,6 ,5 ,5 ,5 ,4 ,4 ,4 ,3 ,3 ,2 ,2 ,3 ,3 ,2 
13 ,010320,广州市真光中学文伟学校,,,,102 ,102 ,102 ,5 ,5 ,5 ,35 ,35 ,35 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,5 ,5 ,8 ,8 ,8 ,6 ,6 ,6 ,3 ,3 ,6 ,6 ,4 ,4 ,3 
14 ,010321,广州市真光中学金道学校,,,,254 ,254 ,254 ,13 ,13 ,13 ,88 ,88 ,88 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,13 ,13 ,10 ,10 ,10 ,17 ,17 ,17 ,14 ,14 ,19 ,19 ,11 ,11 ,4 
15 ,010322,广州市第四中学花地学校,,,,135 ,135 ,135 ,7 ,7 ,7 ,47 ,47 ,47 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,5 ,5 ,14 ,14 ,14 ,7 ,7 ,7 ,8 ,8 ,4 ,4 ,2 ,2 ,7 
16 ,010330,广州市荔湾区芳华初级中学,,,,4 ,4 ,4 ,1 ,1 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 
17 ,010331,广州市荔湾区新苗学校,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
18 ,010332,广州市荔湾区同心学校,,,,1 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
19 ,010333,广州市荔湾区新晖学校,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
20 ,010334,广州市荔湾区广豪学校,,,,6 ,6 ,6 ,1 ,1 ,1 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,1 ,1 ,0 ,0 ,0 
21 ,010335,广州市荔湾区荔广实验学校,,,,155 ,155 ,155 ,8 ,8 ,8 ,49 ,49 ,49 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,2 ,2 ,0 ,0 ,,,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 ,3 ,9 ,9 ,3 ,3 ,3 
22 ,010336,广州市荔湾区博雅中英文学校,,,,1 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,1 ,1 ,0 ,0 ,0 
23 ,010337,广州市荔湾区东沙博雅实验学校,,,,2 ,2 ,2 ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,1 
24 ,010340,广州市荔湾区博雅实验学校,,,,1 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 
25 ,010341,广州市荔湾区君诚博雅实验学校,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 
26 ,010342,广州市荔湾区海龙博雅中英文学校,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 
